"measure","vintage_new","delta_aeo.1","delta_steo_measure.1","delta_aeo.2","delta_steo_measure.2","delta_aeo.3","delta_steo_measure.3","delta_aeo.4","delta_steo_measure.4","delta_aeo.5","delta_steo_measure.5","delta_aeo.6","delta_steo_measure.6","delta_aeo.7","delta_steo_measure.7","delta_aeo.8","delta_steo_measure.8","delta_aeo.9","delta_steo_measure.9","delta_aeo.10","delta_steo_measure.10","delta_aeo.11","delta_steo_measure.11","delta_aeo.12","delta_steo_measure.12","delta_aeo.13","delta_steo_measure.13","delta_aeo.14","delta_steo_measure.14","delta_aeo.15","delta_steo_measure.15","delta_aeo.16","delta_steo_measure.16","delta_aeo.17","delta_steo_measure.17","delta_aeo.18","delta_steo_measure.18","delta_aeo.19","delta_steo_measure.19","delta_aeo.20","delta_steo_measure.20","delta_aeo.21","delta_steo_measure.21","delta_aeo.22","delta_steo_measure.22","delta_aeo.23","delta_steo_measure.23","delta_aeo.24","delta_steo_measure.24","delta_aeo.25","delta_steo_measure.25"
"delta_steo_ave",2016,-25,-22.5649791666667,-21.531295,-22.5649791666667,-7.58322200000001,-22.5649791666667,-1.994186,-22.5649791666667,2.030304,-22.5649791666667,4.10539999999999,-22.5649791666667,4.61296800000001,-22.5649791666667,4.46807100000001,-22.5649791666667,4.80503,-22.5649791666667,5.91314,-22.5649791666667,6.198013,-22.5649791666667,5.89076200000001,-22.5649791666667,6.52342200000001,-22.5649791666667,5.60633799999999,-22.5649791666667,6.616852,-22.5649791666667,7.554123,-22.5649791666667,8.54487700000001,-22.5649791666667,9.78333999999998,-22.5649791666667,9.36674500000001,-22.5649791666667,10.68927,-22.5649791666667,9.62110899999999,-22.5649791666667,11.015457,-22.5649791666667,10.402405,-22.5649791666667,11.028961,-22.5649791666667,NA,NA
"delta_steo_ave",2017,15.670471,12.1391666666667,14.395523,12.1391666666667,5.51739500000001,12.1391666666667,2.23101799999999,12.1391666666667,-0.0990139999999968,12.1391666666667,-2.38752,12.1391666666667,-3.53443100000001,12.1391666666667,-2.730767,12.1391666666667,-2.56822200000001,12.1391666666667,-4.23498600000001,12.1391666666667,-6.407921,12.1391666666667,-7.23687000000001,12.1391666666667,-7.74525500000001,12.1391666666667,-7.06552099999999,12.1391666666667,-7.99345399999999,12.1391666666667,-12.906586,12.1391666666667,-15.797883,12.1391666666667,-20.875717,12.1391666666667,-21.006974,12.1391666666667,-26.866455,12.1391666666667,-29.686768,12.1391666666667,-34.022796,12.1391666666667,-38.25322,12.1391666666667,-45.155014,12.1391666666667,NA,NA
"delta_steo_ave",2018,-6.82184600000001,6.10583333333329,0.251495000000006,6.10583333333329,3.75426499999999,6.10583333333329,3.926895,6.10583333333329,4.069137,6.10583333333329,4.428856,6.10583333333329,4.582069,6.10583333333329,3.973564,6.10583333333329,2.72708200000001,6.10583333333329,2.943856,6.10583333333329,4.004685,6.10583333333329,3.54827899999999,6.10583333333329,3.120881,6.10583333333329,1.44078099999999,6.10583333333329,-0.250580000000014,6.10583333333329,2.202485,6.10583333333329,1.78041100000002,6.10583333333329,2.08209199999999,6.10583333333329,2.309235,6.10583333333329,4.087616,6.10583333333329,4.588776,6.10583333333329,4.642608,6.10583333333329,5.76792899999998,6.10583333333329,6.42309599999999,6.10583333333329,8.15373300000002,6.10583333333329
"delta_steo_ave",2019,18.300156,-0.444583333333298,5.366692,-0.444583333333298,-2.623741,-0.444583333333298,-4.169792,-0.444583333333298,-3.508888,-0.444583333333298,-2.69653299999999,-0.444583333333298,-0.492774999999995,-0.444583333333298,0.556015000000002,-0.444583333333298,1.50089999999999,-0.444583333333298,1.856216,-0.444583333333298,2.25546300000001,-0.444583333333298,3.16336800000001,-0.444583333333298,2.54299900000001,-0.444583333333298,3.27517700000001,-0.444583333333298,3.351395,-0.444583333333298,2.951232,-0.444583333333298,3.058075,-0.444583333333298,4.02259799999999,-0.444583333333298,1.710373,-0.444583333333298,1.27264399999999,-0.444583333333298,1.00697300000002,-0.444583333333298,0.116501,-0.444583333333298,-0.863571000000007,-0.444583333333298,-1.04385400000001,-0.444583333333298,-1.67807100000002,-0.444583333333298
"delta_steo_ave",2020,-12.458916,2.8433333333333,-11.607514,2.8433333333333,-10.463509,2.8433333333333,-11.043007,2.8433333333333,-13.000603,2.8433333333333,-14.197632,2.8433333333333,-16.776977,2.8433333333333,-18.358039,2.8433333333333,-19.111977,2.8433333333333,-20.387932,2.8433333333333,-20.989144,2.8433333333333,-21.908676,2.8433333333333,-21.886696,2.8433333333333,-22.489365,2.8433333333333,-22.871689,2.8433333333333,-22.977745,2.8433333333333,-23.325668,2.8433333333333,-23.258575,2.8433333333333,-22.926849,2.8433333333333,-22.766464,2.8433333333333,-22.679779,2.8433333333333,-20.87439,2.8433333333333,-20.341705,2.8433333333333,-19.21431,2.8433333333333,-17.743698,2.8433333333333
"delta_steo_ave",2021,-13.745533,-10.1616666666666,-12.008323,-10.1616666666666,-10.548797,-10.1616666666666,-9.789063,-10.1616666666666,-8.64328,-10.1616666666666,-8.13337,-10.1616666666666,-6.918297,-10.1616666666666,-6.49128,-10.1616666666666,-5.868866,-10.1616666666666,-5.29743900000001,-10.1616666666666,-4.69853999999999,-10.1616666666666,-4.790474,-10.1616666666666,-5.78162399999999,-10.1616666666666,-6.68852200000001,-10.1616666666666,-6.969627,-10.1616666666666,-7.22777500000001,-10.1616666666666,-7.234947,-10.1616666666666,-9.40867600000001,-10.1616666666666,-8.30403200000001,-10.1616666666666,-8.33320700000002,-10.1616666666666,-9.09585600000003,-10.1616666666666,-10.253433,-10.1616666666666,-10.813294,-10.1616666666666,-14.471649,-10.1616666666666,-13.793304,-10.1616666666666
"delta_steo_ave",2022,12.175301,21.5308333333333,13.17765,21.5308333333333,11.612625,21.5308333333333,10.917984,21.5308333333333,10.029587,21.5308333333333,9.539055,21.5308333333333,7.78437799999999,21.5308333333333,7.04454000000001,21.5308333333333,6.27552799999999,21.5308333333333,5.622871,21.5308333333333,4.050911,21.5308333333333,3.406098,21.5308333333333,2.76544199999999,21.5308333333333,3.270897,21.5308333333333,2.83120699999999,21.5308333333333,2.180931,21.5308333333333,0.558745999999999,21.5308333333333,2.99089000000001,21.5308333333333,0.705338000000012,21.5308333333333,-0.992614000000003,21.5308333333333,-0.0126339999999914,21.5308333333333,0.213332999999977,21.5308333333333,-0.766281000000021,21.5308333333333,2.24479700000001,21.5308333333333,-0.723144999999988,21.5308333333333
"delta_steo_ave",2023,35.588772,4.87208333333331,24.848137,4.87208333333331,24.752884,4.87208333333331,23.766403,4.87208333333331,22.633812,4.87208333333331,21.79361,4.87208333333331,22.097984,4.87208333333331,21.573258,4.87208333333331,21.207802,4.87208333333331,21.004555,4.87208333333331,21.490509,4.87208333333331,22.320572,4.87208333333331,22.752823,4.87208333333331,22.650184,4.87208333333331,22.52227,4.87208333333331,22.333885,4.87208333333331,23.195488,4.87208333333331,21.905213,4.87208333333331,21.761245,4.87208333333331,22.379348,4.87208333333331,21.419006,4.87208333333331,19.801667,4.87208333333331,20.976456,4.87208333333331,20.169632,4.87208333333331,21.153,4.87208333333331
"delta_steo_curr",2016,-25,-20.1299583333334,-21.531295,-20.1299583333334,-7.58322200000001,-20.1299583333334,-1.994186,-20.1299583333334,2.030304,-20.1299583333334,4.10539999999999,-20.1299583333334,4.61296800000001,-20.1299583333334,4.46807100000001,-20.1299583333334,4.80503,-20.1299583333334,5.91314,-20.1299583333334,6.198013,-20.1299583333334,5.89076200000001,-20.1299583333334,6.52342200000001,-20.1299583333334,5.60633799999999,-20.1299583333334,6.616852,-20.1299583333334,7.554123,-20.1299583333334,8.54487700000001,-20.1299583333334,9.78333999999998,-20.1299583333334,9.36674500000001,-20.1299583333334,10.68927,-20.1299583333334,9.62110899999999,-20.1299583333334,11.015457,-20.1299583333334,10.402405,-20.1299583333334,11.028961,-20.1299583333334,NA,NA
"delta_steo_curr",2017,15.670471,17.1116666666667,14.395523,17.1116666666667,5.51739500000001,17.1116666666667,2.23101799999999,17.1116666666667,-0.0990139999999968,17.1116666666667,-2.38752,17.1116666666667,-3.53443100000001,17.1116666666667,-2.730767,17.1116666666667,-2.56822200000001,17.1116666666667,-4.23498600000001,17.1116666666667,-6.407921,17.1116666666667,-7.23687000000001,17.1116666666667,-7.74525500000001,17.1116666666667,-7.06552099999999,17.1116666666667,-7.99345399999999,17.1116666666667,-12.906586,17.1116666666667,-15.797883,17.1116666666667,-20.875717,17.1116666666667,-21.006974,17.1116666666667,-26.866455,17.1116666666667,-29.686768,17.1116666666667,-34.022796,17.1116666666667,-38.25322,17.1116666666667,-45.155014,17.1116666666667,NA,NA
