metric,value
selected_target_strategy,direct_avg
selected_strategy_label,Direct model of Singapore/Houston average
selected_target_index_id,avg_sing_hou_bbl
selected_target_index_label,Average Singapore/Houston VLSFO ($/bbl)
selected_y_transform,level
selected_model_family,two_ma_plus_spot
selected_source_id,
selected_short_source_id,wti
selected_long_source_id,brent
selected_spot_source_id,wti
selected_window_days,
selected_short_window_days,30
selected_long_window_days,45
selected_brent_offset_days,0
selected_form_id,linear_combo_plus_spot
n,692
transformed_r_squared,0.885459113385132
transformed_adj_r_squared,0.88495966184466
transformed_rmse,3.89363806812573
transformed_mae,2.68619341969213
native_bic,3877.84089565622
native_aic,3855.14296587813
raw_r_squared,0.885459113385132
raw_rmse,3.89363806812573
raw_mae,2.68619341969213
raw_bic,1907.49037974534
raw_aic,1889.33203592287
durbin_watson,0.305166869471808
residual_acf1,0.8436511372325
ljung_box_lag10_p_value,0
ljung_box_lag20_p_value,0
white_test_p_value,2.1231137373554e-21
sample_start,2023-05-17
sample_end,2026-03-13
monotone_pass,TRUE
n_monotone_candidates,34951
n_total_candidates,98400
brent_source_series,DCOILBRENTEU
brent_source_url,https://fred.stlouisfed.org/series/DCOILBRENTEU
