date,singapore_vlsfo_usd_mt,global_20ports_vlsfo_usd_mt,houston_vlsfo_usd_mt
2023-03-10,593.0,632.5,607.0
2023-03-13,596.5,633.5,607.0
2023-03-14,588.5,623.0,601.0
2023-03-15,577.0,613.0,584.0
2023-03-16,560.5,598.0,579.0
2023-03-17,563.0,603.0,575.5
2023-03-20,543.5,593.0,566.0
2023-03-21,545.0,593.0,556.5
2023-03-22,566.0,599.0,563.0
2023-03-23,565.0,603.0,573.0
2023-03-24,564.5,600.0,571.5
2023-03-27,563.0,598.5,573.5
2023-03-28,571.5,610.5,580.5
2023-03-29,579.0,611.0,583.0
2023-03-30,577.0,608.0,576.0
2023-03-31,578.0,612.5,575.5
2023-04-03,603.5,636.5,590.0
2023-04-04,606.0,636.5,611.5
2023-04-05,606.0,635.5,607.5
2023-04-06,607.5,637.0,612.5
2023-04-07,610.5,636.0,612.5
2023-04-10,610.5,636.5,612.5
2023-04-11,617.5,638.5,617.0
2023-04-12,621.0,642.0,613.5
2023-04-13,625.0,643.0,619.5
2023-04-14,624.5,642.0,623.0
2023-04-17,627.0,640.5,623.5
2023-04-18,616.5,635.5,608.0
2023-04-19,616.5,634.5,600.5
2023-04-20,598.0,618.0,587.5
2023-04-21,592.0,613.0,576.5
2023-04-24,594.5,611.5,576.0
2023-04-25,605.5,617.0,570.5
2023-04-26,600.0,609.0,566.0
2023-04-27,580.5,598.0,557.0
2023-04-28,583.0,600.0,558.5
2023-05-01,578.5,593.5,550.5
2023-05-02,593.0,601.0,542.5
2023-05-03,577.0,586.0,528.5
2023-05-04,563.5,572.0,519.0
2023-05-05,561.5,574.0,523.0
2023-05-08,569.5,583.0,540.0
2023-05-09,571.5,586.5,542.5
2023-05-10,571.0,587.0,543.5
2023-05-11,571.5,584.0,535.5
2023-05-12,569.0,582.0,534.0
2023-05-15,555.0,573.0,528.0
2023-05-16,565.0,580.5,528.5
2023-05-17,568.0,583.0,529.5
2023-05-18,584.5,595.0,528.5
2023-05-19,587.0,589.0,537.0
2023-05-22,579.0,589.5,533.5
2023-05-23,578.5,585.0,525.5
2023-05-24,583.5,596.0,537.0
2023-05-25,582.0,589.0,532.5
2023-05-26,579.5,585.0,531.5
2023-05-29,578.0,588.5,531.5
2023-05-30,578.0,584.5,525.5
2023-05-31,561.5,577.0,518.5
2023-06-01,558.0,574.0,511.0
2023-06-02,561.5,583.5,520.0
2023-06-05,585.5,594.5,531.0
2023-06-06,572.0,591.5,532.5
2023-06-07,582.5,595.0,534.5
2023-06-08,588.5,598.5,547.5
2023-06-09,585.5,593.0,532.5
2023-06-12,572.0,586.5,528.0
2023-06-13,570.0,585.0,542.0
2023-06-14,584.0,594.5,537.0
2023-06-15,590.0,592.5,545.5
2023-06-16,602.0,601.5,526.5
2023-06-19,616.5,611.0,546.5
2023-06-20,626.0,610.0,534.0
2023-06-21,612.0,608.0,545.0
2023-06-22,612.5,613.5,538.5
2023-06-23,602.5,598.5,532.5
2023-06-26,597.0,598.5,530.5
2023-06-27,594.5,594.0,525.5
2023-06-28,585.0,588.5,525.5
2023-06-29,587.0,594.0,522.5
2023-06-30,594.0,596.0,520.5
2023-07-03,595.0,598.5,523.0
2023-07-04,591.0,592.0,523.0
2023-07-05,585.5,593.0,534.5
2023-07-06,582.0,592.0,534.5
2023-07-07,586.5,591.5,533.5
2023-07-10,587.5,597.5,546.5
2023-07-11,575.5,594.0,548.5
2023-07-12,579.5,600.0,559.5
2023-07-13,577.0,601.0,566.0
2023-07-14,581.5,602.5,564.0
2023-07-17,574.0,596.5,560.0
2023-07-18,564.5,592.5,559.0
2023-07-19,569.0,595.5,564.5
2023-07-20,569.0,595.0,568.5
2023-07-21,573.5,598.5,569.5
2023-07-24,583.5,607.5,577.5
2023-07-25,592.0,614.5,577.0
2023-07-26,598.5,617.5,577.5
2023-07-27,608.0,622.5,591.5
2023-07-28,613.5,629.0,589.0
2023-07-31,619.5,633.5,597.5
2023-08-01,628.0,640.5,597.0
2023-08-02,638.5,647.5,602.0
2023-08-03,631.5,647.0,597.0
2023-08-04,639.0,654.5,605.5
2023-08-07,643.5,657.5,610.5
2023-08-08,637.0,652.0,609.5
2023-08-09,640.0,657.0,625.5
2023-08-10,663.0,667.5,637.5
2023-08-11,653.0,662.5,634.0
2023-08-14,650.5,662.5,636.5
2023-08-15,651.0,661.5,626.5
2023-08-16,647.5,656.5,624.5
2023-08-17,640.0,653.0,625.5
2023-08-18,641.5,654.5,627.5
2023-08-21,647.0,657.5,634.0
2023-08-22,635.5,649.0,629.0
2023-08-23,629.5,645.5,627.5
2023-08-24,629.0,645.5,620.0
2023-08-25,636.5,651.0,619.5
2023-08-28,643.0,654.5,629.0
2023-08-29,642.0,657.0,632.5
2023-08-30,640.0,654.0,636.0
2023-08-31,637.0,654.5,644.0
2023-09-01,641.5,662.0,647.0
2023-09-04,641.5,664.0,651.0
2023-09-05,642.0,661.0,657.0
2023-09-06,645.5,662.0,653.0
2023-09-07,655.5,668.5,658.0
2023-09-08,655.5,667.0,659.0
